,Name,Super Power,Super Power Processed
1431,Darth Maul,Illusions,Illusions
1432,Darth Maul,The Force,The Force
1433,Darth Vader,Agility,A g i l i t y
1434,Darth Vader,Accelerated Healing,Accelerated Healing
1435,Darth Vader,Durability,Durability
1436,Darth Vader,Stealth,S t e a l t h
1437,Darth Vader,Danger Sense,Danger Sense
1438,Darth Vader,Marksmanship,Marksmanship
1439,Darth Vader,Weapons Master,Weapons Master
1440,Darth Vader,Intelligence,Intelligence
1441,Darth Vader,Telepathy,Telepathy
1442,Darth Vader,Energy Blasts,Energy Blasts
1443,Darth Vader,Super Speed,Super Speed
1444,Darth Vader,Electrokinesis,Electrokinesis
1445,Darth Vader,Enhanced Senses,Enhanced Senses
1446,Darth Vader,Telekinesis,Telekinesis
1447,Darth Vader,Jump,J u m p
1448,Darth Vader,Astral Projection,Astral Projection
1449,Darth Vader,Reflexes,Reflexes
1450,Darth Vader,Force Fields,Force Fields
1451,Darth Vader,Psionic Powers,Psionic Powers
1452,Darth Vader,Precognition,Precognition
1453,Darth Vader,Enhanced Hearing,Enhanced Hearing
1454,Darth Vader,Hypnokinesis,Hypnokinesis
1455,Darth Vader,Light Control,Light Control
1456,Darth Vader,Illusions,Illusions
1457,Darth Vader,Cloaking,Cloaking
1458,Darth Vader,The Force,The Force
1459,Dash,Agility,A g i l i t y
1460,Dash,Stamina,S t a m i n a
1461,Dash,Super Speed,Super Speed
1462,Dash,Reflexes,Reflexes
1463,Data,Agility,A g i l i t y
1464,Data,Cold Resistance,Cold Resistance
1465,Data,Durability,Durability
1466,Data,Longevity,Longevity
1467,Data,Intelligence,Intelligence
1468,Data,Super Strength,Super Strength
1469,Data,Super Speed,Super Speed
1470,Data,Enhanced Senses,Enhanced Senses
1471,Data,Enhanced Memory,Enhanced Memory
1472,Data,Reflexes,Reflexes
1473,Data,Technopath/Cyberpath,Technopath/Cyberpath
1474,Data,Enhanced Hearing,Enhanced Hearing
1475,Data,Enhanced Sight,Enhanced Sight
1476,Data,Heat Resistance,Heat Resistance
1477,Data,Enhanced Smell,Enhanced Smell
1478,Data,Omnilingualism,Omnilingualism
1479,Dazzler,Agility,A g i l i t y
1480,Dazzler,Energy Absorption,Energy Absorption
1481,Dazzler,Marksmanship,Marksmanship
1482,Dazzler,Energy Blasts,Energy Blasts
1483,Dazzler,Stamina,S t a m i n a
1484,Dazzler,Audio Control,Audio Control
1485,Dazzler,Energy Beams,Energy Beams
1486,Dazzler,Energy Constructs,Energy Constructs
1487,Dazzler,Force Fields,Force Fields
1488,Dazzler,Heat Generation,Heat Generation
1489,Dazzler,Light Control,Light Control
1490,Dazzler,Levitation,Levitation
1491,Dazzler,Energy Manipulation,Energy Manipulation
1492,Dazzler,Illusions,Illusions
1493,Dazzler,Resurrection,Resurrection
1494,Deadman,Agility,A g i l i t y
1495,Deadman,Lantern Power Ring,Lantern Power Ring
1496,Deadman,Flight,F l i g h t
1497,Deadman,Stamina,S t a m i n a
1498,Deadman,Possession,Possession
1499,Deadman,Teleportation,Teleportation
1500,Deadman,Magic,M a g i c
1501,Deadman,Immortality,Immortality
1502,Deadman,Phasing,P h a s i n g
1503,Deadman,Intangibility,Intangibility
1504,Deadman,Levitation,Levitation
1505,Deadman,Invisibility,Invisibility
1506,Deadpool,Agility,A g i l i t y
1507,Deadpool,Accelerated Healing,Accelerated Healing
1508,Deadpool,Dimensional Awareness,Dimensional Awareness
1509,Deadpool,Stealth,S t e a l t h
1510,Deadpool,Marksmanship,Marksmanship
1511,Deadpool,Weapons Master,Weapons Master
1512,Deadpool,Longevity,Longevity
1513,Deadpool,Stamina,S t a m i n a
1514,Deadpool,Weapon-based Powers,Weapon-based Powers
1515,Deadpool,Teleportation,Teleportation
1516,Deadpool,Immortality,Immortality
1517,Deadpool,Reflexes,Reflexes
1518,Deadpool,Regeneration,Regeneration
1519,Deadpool,Toxin and Disease Resistance,"Toxin,Disease Resis"
1520,Deadpool,Telepathy Resistance,Telepathy Resistance
1521,Deadpool,Mind Control Resistance,Mind Control Resis
1522,Deadshot,Stealth,S t e a l t h
1523,Deadshot,Marksmanship,Marksmanship
1524,Deadshot,Weapons Master,Weapons Master
1525,Deadshot,Stamina,S t a m i n a
1526,Deathlok,Agility,A g i l i t y
1527,Deathlok,Durability,Durability
1528,Deathlok,Intelligence,Intelligence
1529,Deathlok,Super Strength,Super Strength
1530,Deathlok,Stamina,S t a m i n a
1531,Deathlok,Super Speed,Super Speed
1532,Deathlok,Enhanced Memory,Enhanced Memory
1533,Deathlok,Reflexes,Reflexes
1534,Deathlok,Vision - Telescopic,Vision - Telescopic
1535,Deathlok,Vision - Microscopic,Vision - Microscopic
1536,Deathlok,Vision - Infrared,Vision - Infrared
1537,Deathstroke,Agility,A g i l i t y
1538,Deathstroke,Accelerated Healing,Accelerated Healing
1539,Deathstroke,Durability,Durability
1540,Deathstroke,Weapons Master,Weapons Master
1541,Deathstroke,Longevity,Longevity
1542,Deathstroke,Super Strength,Super Strength
1543,Deathstroke,Super Speed,Super Speed
1544,Deathstroke,Weapon-based Powers,Weapon-based Powers
1545,Deathstroke,Enhanced Senses,Enhanced Senses
1546,Deathstroke,Reflexes,Reflexes
1547,Deathstroke,Toxin and Disease Resistance,"Toxin,Disease Resis"
1548,Dementor,Agility,A g i l i t y
1549,Dementor,Super Strength,Super Strength
1550,Demogoblin,Agility,A g i l i t y
1551,Demogoblin,Super Strength,Super Strength
1552,Demogoblin,Telepathy,Telepathy
1553,Demogoblin,Stamina,S t a m i n a
1554,Demogoblin,Super Speed,Super Speed
1555,Demogoblin,Magic,M a g i c
1556,Demogoblin,Reflexes,Reflexes
1557,Demogoblin,Natural Weapons,Natural Weapons
1558,Destroyer,Super Strength,Super Strength
1559,Destroyer,Energy Blasts,Energy Blasts
1560,Destroyer,Size Changing,Size Changing
1561,Destroyer,Molecular Manipulation,Molecular Manipulation
1562,Destroyer,Levitation,Levitation
1563,Diamondback,Marksmanship,Marksmanship
1564,Diamondback,Weapons Master,Weapons Master
1565,Doc Samson,Durability,Durability
1566,Doc Samson,Super Strength,Super Strength
1567,Doc Samson,Stamina,S t a m i n a
1568,Doctor Doom,Durability,Durability
1569,Doctor Doom,Flight,F l i g h t
1570,Doctor Doom,Super Strength,Super Strength
1571,Doctor Doom,Energy Blasts,Energy Blasts
1572,Doctor Doom,Stamina,S t a m i n a
1573,Doctor Doom,Astral Travel,Astral Travel
1574,Doctor Doom,Super Speed,Super Speed
1575,Doctor Doom,Weapon-based Powers,Weapon-based Powers
1576,Doctor Doom,Electrokinesis,Electrokinesis
1577,Doctor Doom,Teleportation,Teleportation
1578,Doctor Doom,Magic,M a g i c
1579,Doctor Doom,Dimensional Travel,Dimensional Travel
1580,Doctor Doom,Summoning,Summoning
1581,Doctor Doom,Force Fields,Force Fields
1582,Doctor Doom,Time Travel,Time Travel
1583,Doctor Doom II,Flight,F l i g h t
1584,Doctor Doom II,Super Strength,Super Strength
1585,Doctor Doom II,Energy Blasts,Energy Blasts
1586,Doctor Doom II,Force Fields,Force Fields
1587,Doctor Doom II,Psionic Powers,Psionic Powers
1588,Doctor Fate,Accelerated Healing,Accelerated Healing
1589,Doctor Fate,Dimensional Awareness,Dimensional Awareness
1590,Doctor Fate,Flight,F l i g h t
1591,Doctor Fate,Longevity,Longevity
1592,Doctor Fate,Super Strength,Super Strength
1593,Doctor Fate,Telepathy,Telepathy
1594,Doctor Fate,Energy Blasts,Energy Blasts
1595,Doctor Fate,Super Speed,Super Speed
1596,Doctor Fate,Teleportation,Teleportation
1597,Doctor Fate,Telekinesis,Telekinesis
1598,Doctor Fate,Dimensional Travel,Dimensional Travel
1599,Doctor Fate,Phasing,P h a s i n g
1600,Doctor Fate,Astral Projection,Astral Projection
1601,Doctor Fate,Energy Constructs,Energy Constructs
1602,Doctor Fate,Mind Control,Mind Control
1603,Doctor Fate,Molecular Manipulation,Molecular Manipulation
1604,Doctor Fate,Illusions,Illusions
1605,Doctor Fate,Energy Resistance,Energy Resistance
1606,Doctor Fate,Magnetism,Magnetism
1607,Doctor Fate,Time Manipulation,Time Manipulation
1608,Doctor Fate,Invisibility,Invisibility
1609,Doctor Fate,Resurrection,Resurrection
1610,Doctor Octopus,Agility,A g i l i t y
1611,Doctor Octopus,Marksmanship,Marksmanship
1612,Doctor Octopus,Intelligence,Intelligence
1613,Doctor Octopus,Super Strength,Super Strength
1614,Doctor Octopus,Stamina,S t a m i n a
1615,Doctor Octopus,Super Speed,Super Speed
1616,Doctor Octopus,Weapon-based Powers,Weapon-based Powers
1617,Doctor Octopus,Technopath/Cyberpath,Technopath/Cyberpath
1618,Doctor Octopus,Power Suit,Power Suit
1619,Doctor Octopus,Wallcrawling,Wallcrawling
1620,Doctor Poison,Intelligence,Intelligence
1621,Doctor Poison,Toxin and Disease Control,"Toxin,Disease Control"
1622,Doctor Strange,Dimensional Awareness,Dimensional Awareness
1623,Doctor Strange,Flight,F l i g h t
1624,Doctor Strange,Longevity,Longevity
1625,Doctor Strange,Telepathy,Telepathy
1626,Doctor Strange,Energy Blasts,Energy Blasts
1627,Doctor Strange,Teleportation,Teleportation
1628,Doctor Strange,Telekinesis,Telekinesis
1629,Doctor Strange,Magic,M a g i c
1630,Doctor Strange,Dimensional Travel,Dimensional Travel
1631,Doctor Strange,Phasing,P h a s i n g
1632,Doctor Strange,Astral Projection,Astral Projection
1633,Doctor Strange,Summoning,Summoning
1634,Doctor Strange,Force Fields,Force Fields
1635,Doctor Strange,Hypnokinesis,Hypnokinesis
1636,Doctor Strange,Intangibility,Intangibility
1637,Doctor Strange,Banish,B a n i s h
1638,Doctor Strange,Time Travel,Time Travel
1639,Doctor Strange,Illusions,Illusions
1640,Doctor Strange,Time Manipulation,Time Manipulation
1641,Doctor Strange,Invisibility,Invisibility
1642,Domino,Agility,A g i l i t y
1643,Domino,Marksmanship,Marksmanship
1644,Domino,Reflexes,Reflexes
1645,Domino,Probability Manipulation,Prob Manipulation
1646,Donatello,Agility,A g i l i t y
1647,Donatello,Accelerated Healing,Accelerated Healing
1648,Donatello,Stealth,S t e a l t h
1649,Donatello,Marksmanship,Marksmanship
1650,Donatello,Weapons Master,Weapons Master
1651,Donatello,Stamina,S t a m i n a
1652,Donatello,Jump,J u m p
1653,Donatello,Natural Armor,Natural Armor
1654,Donatello,Sub-Mariner,Sub-Mariner
1655,Donna Troy,Flight,F l i g h t
1656,Donna Troy,Super Strength,Super Strength
1657,Donna Troy,Super Speed,Super Speed
1658,Doomsday,Agility,A g i l i t y
1659,Doomsday,Accelerated Healing,Accelerated Healing
1660,Doomsday,Cold Resistance,Cold Resistance
1661,Doomsday,Durability,Durability
1662,Doomsday,Energy Absorption,Energy Absorption
1663,Doomsday,Super Strength,Super Strength
1664,Doomsday,Stamina,S t a m i n a
1665,Doomsday,Super Speed,Super Speed
1666,Doomsday,Jump,J u m p
1667,Doomsday,Reflexes,Reflexes
1668,Doomsday,Invulnerability,Invulnerability
1669,Doomsday,Self-Sustenance,Self-Sustenance
1670,Doomsday,Power Absorption,Power Absorption
1671,Doomsday,Natural Armor,Natural Armor
1672,Doomsday,Adaptation,Adaptation
1673,Doomsday,Regeneration,Regeneration
1674,Doomsday,Heat Resistance,Heat Resistance
1675,Doomsday,Natural Weapons,Natural Weapons
1676,Doomsday,Energy Resistance,Energy Resistance
1677,Doomsday,Resurrection,Resurrection
1678,Doppelganger,Agility,A g i l i t y
1679,Doppelganger,Accelerated Healing,Accelerated Healing
1680,Doppelganger,Super Strength,Super Strength
1681,Doppelganger,Stamina,S t a m i n a
1682,Doppelganger,Super Speed,Super Speed
1683,Doppelganger,Shapeshifting,Shapeshifting
1684,Doppelganger,Reflexes,Reflexes
1685,Doppelganger,Natural Weapons,Natural Weapons
1686,Doppelganger,Wallcrawling,Wallcrawling
1687,Dormammu,Power Augmentation,Power Augmentation
1688,Dormammu,Super Strength,Super Strength
1689,Dormammu,Telepathy,Telepathy
1690,Dormammu,Size Changing,Size Changing
1691,Dormammu,Stamina,S t a m i n a
1692,Dormammu,Super Speed,Super Speed
1693,Dormammu,Darkforce Manipulation,Darkforce Manipulation
1694,Dormammu,Teleportation,Teleportation
1695,Dormammu,Magic,M a g i c
1696,Dormammu,Dimensional Travel,Dimensional Travel
1697,Dormammu,Shapeshifting,Shapeshifting
1698,Dormammu,Immortality,Immortality
1699,Dormammu,Molecular Manipulation,Molecular Manipulation
1700,Dr Manhattan,Accelerated Healing,Accelerated Healing
1701,Dr Manhattan,Durability,Durability
1702,Dr Manhattan,Energy Absorption,Energy Absorption
1703,Dr Manhattan,Flight,F l i g h t
1704,Dr Manhattan,Longevity,Longevity
1705,Dr Manhattan,Intelligence,Intelligence
1706,Dr Manhattan,Super Strength,Super Strength
1707,Dr Manhattan,Energy Blasts,Energy Blasts
1708,Dr Manhattan,Duplication,Duplication
1709,Dr Manhattan,Size Changing,Size Changing
1710,Dr Manhattan,Density Control,Density Control
1711,Dr Manhattan,Super Speed,Super Speed
1712,Dr Manhattan,Teleportation,Teleportation
1713,Dr Manhattan,Telekinesis,Telekinesis
1714,Dr Manhattan,Immortality,Immortality
1715,Dr Manhattan,Phasing,P h a s i n g
1716,Dr Manhattan,Invulnerability,Invulnerability
1717,Dr Manhattan,Energy Constructs,Energy Constructs
1718,Dr Manhattan,Force Fields,Force Fields
1719,Dr Manhattan,Self-Sustenance,Self-Sustenance
1720,Dr Manhattan,Precognition,Precognition
1721,Dr Manhattan,Intangibility,Intangibility
1722,Dr Manhattan,Molecular Manipulation,Molecular Manipulation
1723,Dr Manhattan,Energy Manipulation,Energy Manipulation
1724,Dr Manhattan,Time Travel,Time Travel
1725,Dr Manhattan,Omnilingualism,Omnilingualism
1726,Dr Manhattan,Time Manipulation,Time Manipulation
1727,Dr Manhattan,Matter Absorption,Matter Absorption
1728,Dr Manhattan,Molecular Dissipation,Molecular Dissipation
1729,Drax the Destroyer,Agility,A g i l i t y
1730,Drax the Destroyer,Accelerated Healing,Accelerated Healing
1731,Drax the Destroyer,Cold Resistance,Cold Resistance
1732,Drax the Destroyer,Durability,Durability
1733,Drax the Destroyer,Weapons Master,Weapons Master
1734,Drax the Destroyer,Super Strength,Super Strength
1735,Drax the Destroyer,Stamina,S t a m i n a
1736,Drax the Destroyer,Enhanced Senses,Enhanced Senses
1737,Drax the Destroyer,Self-Sustenance,Self-Sustenance
1738,Drax the Destroyer,Heat Resistance,Heat Resistance
1739,Drax the Destroyer,Enhanced Smell,Enhanced Smell
1740,Ego,Energy Absorption,Energy Absorption
1741,Ego,Super Strength,Super Strength
1742,Ego,Super Speed,Super Speed
1743,Elastigirl,Agility,A g i l i t y
1744,Elastigirl,Durability,Durability
1745,Elastigirl,Super Strength,Super Strength
1746,Elastigirl,Size Changing,Size Changing
1747,Elastigirl,Shapeshifting,Shapeshifting
1748,Elastigirl,Invulnerability,Invulnerability
1749,Elastigirl,Elasticity,Elasticity
1750,Electro,Super Speed,Super Speed
1751,Electro,Electrokinesis,Electrokinesis
1752,Electro,Electrical Transport,Electrical Transport
1753,Elektra,Agility,A g i l i t y
1754,Elektra,Stealth,S t e a l t h
1755,Elektra,Danger Sense,Danger Sense
1756,Elektra,Marksmanship,Marksmanship
1757,Elektra,Weapons Master,Weapons Master
1758,Elektra,Intelligence,Intelligence
1759,Elektra,Telepathy,Telepathy
1760,Elektra,Peak Human Condition,Peak Human Condition
1761,Elektra,Hypnokinesis,Hypnokinesis
1762,Elektra,Telepathy Resistance,Telepathy Resistance
1763,Elle Bishop,Electrokinesis,Electrokinesis
1764,Elongated Man,Agility,A g i l i t y
1765,Elongated Man,Durability,Durability
1766,Elongated Man,Size Changing,Size Changing
1767,Elongated Man,Shapeshifting,Shapeshifting
1768,Elongated Man,Elasticity,Elasticity
1769,Emma Frost,Durability,Durability
1770,Emma Frost,Super Strength,Super Strength
1771,Emma Frost,Telepathy,Telepathy
1772,Emma Frost,Density Control,Density Control
1773,Emma Frost,Stamina,S t a m i n a
1774,Emma Frost,Possession,Possession
1775,Emma Frost,Camouflage,Camouflage
1776,Emma Frost,Astral Projection,Astral Projection
1777,Emma Frost,Psionic Powers,Psionic Powers
1778,Emma Frost,Mind Control,Mind Control
1779,Emma Frost,Natural Armor,Natural Armor
1780,Emma Frost,Illusions,Illusions
1781,Emma Frost,Telepathy Resistance,Telepathy Resistance
1782,Emma Frost,Mind Control Resistance,Mind Control Resis
1783,Enchantress,Accelerated Healing,Accelerated Healing
1784,Enchantress,Durability,Durability
1785,Enchantress,Flight,F l i g h t
1786,Enchantress,Super Strength,Super Strength
1787,Enchantress,Teleportation,Teleportation
1788,Enchantress,Enhanced Senses,Enhanced Senses
1789,Enchantress,Magic,M a g i c
1790,Enchantress,Element Control,Element Control
1791,Enchantress,Phasing,P h a s i n g
1792,Enchantress,Fire Control,Fire Control
1793,Enchantress,Reflexes,Reflexes
1794,Enchantress,Energy Constructs,Energy Constructs
1795,Enchantress,Intangibility,Intangibility
1796,Enchantress,Illusions,Illusions
1797,Energy,Flight,F l i g h t
1798,Energy,Electrokinesis,Electrokinesis
1799,Energy,Energy Manipulation,Energy Manipulation
1800,Ethan Hunt,Agility,A g i l i t y
1801,Ethan Hunt,Durability,Durability
1802,Ethan Hunt,Stealth,S t e a l t h
1803,Ethan Hunt,Marksmanship,Marksmanship
1804,Ethan Hunt,Weapons Master,Weapons Master
1805,Ethan Hunt,Intelligence,Intelligence
1806,Ethan Hunt,Stamina,S t a m i n a
1807,Ethan Hunt,Reflexes,Reflexes
1808,Etrigan,Accelerated Healing,Accelerated Healing
1809,Etrigan,Durability,Durability
1810,Etrigan,Super Strength,Super Strength
1811,Etrigan,Energy Blasts,Energy Blasts
1812,Etrigan,Enhanced Senses,Enhanced Senses
1813,Etrigan,Magic,M a g i c
1814,Etrigan,Jump,J u m p
1815,Etrigan,Immortality,Immortality
1816,Etrigan,Precognition,Precognition
1817,Etrigan,Natural Weapons,Natural Weapons
1818,Evil Deadpool,Agility,A g i l i t y
1819,Evil Deadpool,Accelerated Healing,Accelerated Healing
1820,Evil Deadpool,Dimensional Awareness,Dimensional Awareness
1821,Evil Deadpool,Stealth,S t e a l t h
1822,Evil Deadpool,Marksmanship,Marksmanship
1823,Evil Deadpool,Weapons Master,Weapons Master
1824,Evil Deadpool,Longevity,Longevity
1825,Evil Deadpool,Stamina,S t a m i n a
1826,Evil Deadpool,Weapon-based Powers,Weapon-based Powers
1827,Evil Deadpool,Teleportation,Teleportation
1828,Evil Deadpool,Immortality,Immortality
1829,Evil Deadpool,Reflexes,Reflexes
1830,Evil Deadpool,Regeneration,Regeneration
1831,Evil Deadpool,Toxin and Disease Resistance,"Toxin,Disease Resis"
1832,Evil Deadpool,Telepathy Resistance,Telepathy Resistance
1833,Evil Deadpool,Mind Control Resistance,Mind Control Resis
1834,Evilhawk,Accelerated Healing,Accelerated Healing
1835,Evilhawk,Durability,Durability
1836,Evilhawk,Flight,F l i g h t
1837,Evilhawk,Super Strength,Super Strength
1838,Evilhawk,Energy Blasts,Energy Blasts
1839,Evilhawk,Weapon-based Powers,Weapon-based Powers
1840,Evilhawk,Force Fields,Force Fields
1841,Evilhawk,Power Suit,Power Suit
1842,Evilhawk,Vision - Telescopic,Vision - Telescopic
1843,Evilhawk,Vision - Infrared,Vision - Infrared
1844,Exodus,Accelerated Healing,Accelerated Healing
1845,Exodus,Flight,F l i g h t
1846,Exodus,Telepathy,Telepathy
1847,Exodus,Energy Blasts,Energy Blasts
1848,Exodus,Teleportation,Teleportation
1849,Exodus,Telekinesis,Telekinesis
1850,Exodus,Astral Projection,Astral Projection
1851,Exodus,Psionic Powers,Psionic Powers
1852,Exodus,Mind Blast,Mind Blast
1853,Exodus,Regeneration,Regeneration
1854,Exodus,Illusions,Illusions
1855,Exodus,Resurrection,Resurrection
1856,Fabian Cortez,Power Augmentation,Power Augmentation
1857,Falcon,Flight,F l i g h t
1858,Falcon,Telepathy,Telepathy
1859,Falcon,Animal Oriented Powers,Animal Oriented Powers
1860,Falcon,Gliding,G l i d i n g
1861,Fallen One II,Accelerated Healing,Accelerated Healing
1862,Fallen One II,Durability,Durability
1863,Fallen One II,Energy Absorption,Energy Absorption
1864,Fallen One II,Flight,F l i g h t
1865,Fallen One II,Super Strength,Super Strength
1866,Fallen One II,Telepathy,Telepathy
1867,Fallen One II,Energy Blasts,Energy Blasts
1868,Fallen One II,Size Changing,Size Changing
1869,Fallen One II,Super Speed,Super Speed
1870,Fallen One II,Darkforce Manipulation,Darkforce Manipulation
1871,Fallen One II,Enhanced Senses,Enhanced Senses
1872,Fallen One II,Phasing,P h a s i n g
1873,Fallen One II,Invulnerability,Invulnerability
1874,Fallen One II,Self-Sustenance,Self-Sustenance
1875,Fallen One II,Gravity Control,Gravity Control
1876,Fallen One II,Energy Manipulation,Energy Manipulation
1877,Fallen One II,Time Travel,Time Travel
1878,Fallen One II,Illusions,Illusions
1879,Faora,Accelerated Healing,Accelerated Healing
1880,Faora,Durability,Durability
1881,Faora,Energy Absorption,Energy Absorption
1882,Faora,Flight,F l i g h t
1883,Faora,Longevity,Longevity
1884,Faora,Intelligence,Intelligence
1885,Faora,Super Strength,Super Strength
1886,Faora,Stamina,S t a m i n a
1887,Faora,Super Speed,Super Speed
1888,Faora,Enhanced Senses,Enhanced Senses
1889,Faora,Jump,J u m p
1890,Faora,Invulnerability,Invulnerability
1891,Faora,Enhanced Hearing,Enhanced Hearing
1892,Faora,Hypnokinesis,Hypnokinesis
1893,Faora,Vision - Telescopic,Vision - Telescopic
1894,Faora,Vision - Microscopic,Vision - Microscopic
1895,Faora,Super Breath,Super Breath
1896,Faora,Vision - Heat,Vision - Heat
1897,Faora,Vision - X-Ray,Vision - X-Ray
1898,Feral,Agility,A g i l i t y
1899,Feral,Accelerated Healing,Accelerated Healing
1900,Feral,Super Strength,Super Strength
1901,Feral,Super Speed,Super Speed
1902,Feral,Animal Oriented Powers,Animal Oriented Powers
1903,Feral,Enhanced Senses,Enhanced Senses
1904,Feral,Jump,J u m p
1905,Feral,Reflexes,Reflexes
1906,Feral,Natural Weapons,Natural Weapons
1907,Fighting Spirit,Flight,F l i g h t
1908,Fighting Spirit,Super Strength,Super Strength
1909,Fighting Spirit,Invulnerability,Invulnerability
1910,Fin Fang Foom,Accelerated Healing,Accelerated Healing
1911,Fin Fang Foom,Durability,Durability
1912,Fin Fang Foom,Flight,F l i g h t
1913,Fin Fang Foom,Longevity,Longevity
1914,Fin Fang Foom,Super Strength,Super Strength
1915,Fin Fang Foom,Telepathy,Telepathy
1916,Fin Fang Foom,Stamina,S t a m i n a
1917,Fin Fang Foom,Possession,Possession
1918,Fin Fang Foom,Shapeshifting,Shapeshifting
1919,Fin Fang Foom,Substance Secretion,Substance Secretion
1920,Fire,Flight,F l i g h t
1921,Fire,Fire Control,Fire Control
1922,Fire,Intangibility,Intangibility
1923,Firebird,Flight,F l i g h t
1924,Firebird,Energy Blasts,Energy Blasts
1925,Firebird,Immortality,Immortality
1926,Firebird,Fire Control,Fire Control
1927,Firebird,Fire Resistance,Fire Resistance
1928,Firebird,Energy Manipulation,Energy Manipulation
1929,Firebird,Heat Resistance,Heat Resistance
1930,Firelord,Durability,Durability
1931,Firelord,Flight,F l i g h t
1932,Firelord,Energy Blasts,Energy Blasts
1933,Firelord,Fire Control,Fire Control
1934,Firelord,Energy Manipulation,Energy Manipulation
1935,Firelord,Heat Resistance,Heat Resistance
1936,Firestar,Flight,F l i g h t
1937,Firestar,Energy Blasts,Energy Blasts
1938,Firestar,Enhanced Senses,Enhanced Senses
1939,Firestar,Heat Generation,Heat Generation
1940,Firestar,Energy Manipulation,Energy Manipulation
1941,Firestar,Energy Resistance,Energy Resistance
1942,Firestorm,Durability,Durability
1943,Firestorm,Energy Absorption,Energy Absorption
1944,Firestorm,Flight,F l i g h t
1945,Firestorm,Super Strength,Super Strength
1946,Firestorm,Energy Blasts,Energy Blasts
1947,Firestorm,Density Control,Density Control
1948,Firestorm,Shapeshifting,Shapeshifting
1949,Firestorm,Phasing,P h a s i n g
1950,Firestorm,Fire Control,Fire Control
1951,Firestorm,Enhanced Memory,Enhanced Memory
1952,Firestorm,Energy Constructs,Energy Constructs
1953,Firestorm,Self-Sustenance,Self-Sustenance
1954,Firestorm,Psionic Powers,Psionic Powers
1955,Firestorm,Molecular Manipulation,Molecular Manipulation
1956,Firestorm,Heat Generation,Heat Generation
1957,Firestorm,Regeneration,Regeneration
1958,Firestorm,Energy Manipulation,Energy Manipulation
1959,Firestorm,Heat Resistance,Heat Resistance
1960,Firestorm,Vision - Telescopic,Vision - Telescopic
1961,Firestorm,Vision - Microscopic,Vision - Microscopic
1962,Firestorm,Vision - X-Ray,Vision - X-Ray
1963,Firestorm,Vision - Thermal,Vision - Thermal
1964,Flash,Accelerated Healing,Accelerated Healing
1965,Flash,Energy Absorption,Energy Absorption
1966,Flash,Flight,F l i g h t
1967,Flash,Longevity,Longevity
1968,Flash,Stamina,S t a m i n a
1969,Flash,Super Speed,Super Speed
1970,Flash,Enhanced Senses,Enhanced Senses
1971,Flash,Phasing,P h a s i n g
1972,Flash,Reflexes,Reflexes
1973,Flash,Energy Constructs,Energy Constructs
1974,Flash,Self-Sustenance,Self-Sustenance
1975,Flash Gordon,Marksmanship,Marksmanship
1976,Flash II,Agility,A g i l i t y
1977,Flash II,Accelerated Healing,Accelerated Healing
1978,Flash II,Energy Absorption,Energy Absorption
1979,Flash II,Flight,F l i g h t
1980,Flash II,Longevity,Longevity
1981,Flash II,Energy Blasts,Energy Blasts
1982,Flash II,Stamina,S t a m i n a
1983,Flash II,Super Speed,Super Speed
1984,Flash II,Enhanced Senses,Enhanced Senses
1985,Flash II,Phasing,P h a s i n g
1986,Flash II,Reflexes,Reflexes
1987,Flash II,Energy Constructs,Energy Constructs
1988,Flash II,Self-Sustenance,Self-Sustenance
1989,Flash II,Time Travel,Time Travel
1990,Flash II,Speed Force,Speed Force
1991,Flash III,Accelerated Healing,Accelerated Healing
1992,Flash III,Flight,F l i g h t
1993,Flash III,Longevity,Longevity
1994,Flash III,Super Strength,Super Strength
1995,Flash III,Stamina,S t a m i n a
1996,Flash III,Super Speed,Super Speed
1997,Flash III,Enhanced Senses,Enhanced Senses
1998,Flash III,Dimensional Travel,Dimensional Travel
1999,Flash III,Phasing,P h a s i n g
2000,Flash III,Reflexes,Reflexes
2001,Flash III,Energy Constructs,Energy Constructs
2002,Flash III,Self-Sustenance,Self-Sustenance
2003,Flash III,Power Absorption,Power Absorption
2004,Flash III,Time Travel,Time Travel
2005,Flash IV,Accelerated Healing,Accelerated Healing
2006,Flash IV,Super Speed,Super Speed
2007,Flash IV,Dimensional Travel,Dimensional Travel
2008,Flash IV,Enhanced Memory,Enhanced Memory
2009,Flash IV,Reflexes,Reflexes
2010,Flash IV,Energy Constructs,Energy Constructs
2011,Flash IV,Time Travel,Time Travel
2012,Forge,Intelligence,Intelligence
2013,Forge,Magic,M a g i c
2014,Franklin Richards,Agility,A g i l i t y
2015,Franklin Richards,Dimensional Awareness,Dimensional Awareness
2016,Franklin Richards,Durability,Durability
2017,Franklin Richards,Flight,F l i g h t
2018,Franklin Richards,Longevity,Longevity
2019,Franklin Richards,Intelligence,Intelligence
2020,Franklin Richards,Super Strength,Super Strength
2021,Franklin Richards,Telepathy,Telepathy
2022,Franklin Richards,Energy Blasts,Energy Blasts
2023,Franklin Richards,Duplication,Duplication
2024,Franklin Richards,Stamina,S t a m i n a
2025,Franklin Richards,Super Speed,Super Speed
2026,Franklin Richards,Teleportation,Teleportation
2027,Franklin Richards,Telekinesis,Telekinesis
2028,Franklin Richards,Immortality,Immortality
2029,Franklin Richards,Astral Projection,Astral Projection
